prefix,code_prefix
NSUN2_K562,BB
SBDS_K562,BD
SSB_K562,BE
SSB_HepG2,BF
SLBP_K562,BH
ZC3H8_K562,BI
EIF3G_K562,BJ
NPM1_K562,BK
PUS1_K562,BL
LARP7_K562,BM
HNRNPA1_HepG2,BO
HNRNPUL1_K562,BP
BCCIP_HepG2,BQ
XRCC6_HepG2,BR
NIP7_HepG2,BS
SERBP1_K562,BU
ABCF1_K562,BV
HNRNPU_adrenal_gland,BW
LARP7_HepG2,BX
SRSF7_K562,BY
RPS11_K562,BZ
GRSF1_HepG2,DB
POLR2G_HepG2,DD
EXOSC5_HepG2,DE
HNRNPA1_K562,DF
DGCR8_K562,DH
YWHAG_K562,DI
CPSF6_K562,DJ
SRSF7_HepG2,DK
PPIL4_K562,DL
HLTF_K562,DM
UTP18_K562,DO
HNRNPC_K562,DP
TROVE2_K562,DQ
HNRNPU_HepG2,DR
TAF15_K562,DS
WDR43_HepG2,DU
SAFB_K562,DV
SDAD1_K562,DW
GNL3_K562,DX
TRA2A_HepG2,DY
RBM22_K562,DZ
HNRNPU_K562,EB
DDX52_HepG2,ED
DDX21_K562,EE
DHX30_HepG2,EF
NCBP2_K562,EH
SAFB_HepG2,EI
DDX42_K562,EJ
UTP18_HepG2,EK
DGCR8_HepG2,EL
AKAP1_K562,EM
U2AF1_K562,EO
APOBEC3C_K562,EP
TIA1_HepG2,EQ
CPEB4_K562,ER
FKBP4_HepG2,ES
U2AF1_HepG2,EU
TIAL1_HepG2,EV
XRN2_K562,EW
SRSF9_HepG2,EX
IGF2BP3_HepG2,EY
FTO_HepG2,EZ
TBRG4_K562,FB
KHDRBS1_K562,FD
NOLC1_HepG2,FE
AATF_K562,FF
FUBP3_HepG2,FH
HNRNPK_K562,FI
NOLC1_K562,FJ
FXR1_K562,FK
PCBP1_K562,FL
TRA2A_K562,FM
SMNDC1_HepG2,FO
PCBP1_HepG2,FP
SUPV3L1_HepG2,FQ
SUPV3L1_K562,FR
WDR43_K562,FS
FTO_K562,FU
HNRNPUL1_HepG2,FV
ZC3H11A_HepG2,FW
PHF6_K562,FX
CSTF2_HepG2,FY
STAU2_HepG2,FZ
ZRANB2_K562,HB
QKI_K562,HD
DDX51_K562,HE
FUS_HepG2,HF
AKAP1_HepG2,HH
DKC1_HepG2,HI
SMNDC1_K562,HJ
SRSF1_K562,HK
SRSF1_HepG2,HL
U2AF2_K562,HM
DDX59_HepG2,HO
EIF4G2_K562,HP
TAF15_HepG2,HQ
TROVE2_HepG2,HR
ZC3H11A_K562,HS
WDR3_K562,HU
LSM11_K562,HV
AKAP8L_K562,HW
NOL12_HepG2,HX
LIN28B_K562,HY
DROSHA_HepG2,HZ
WRN_K562,IB
DDX52_K562,ID
CDC40_HepG2,IE
RBM5_HepG2,IF
LIN28B_HepG2,IH
TARDBP_K562,II
FASTKD2_K562,IJ
XRCC6_K562,IK
SUB1_HepG2,IL
GTF2F1_HepG2,IM
ILF3_HepG2,IO
HNRNPL_K562,IP
MATR3_K562,IQ
DHX30_K562,IR
GTF2F1_K562,IS
FUS_K562,IU
UPF1_HepG2,IV
AGGF1_HepG2,IW
SAFB2_K562,IX
RBFOX2_K562,IY
SND1_HepG2,IZ
YBX3_HepG2,JB
SF3B4_HepG2,JD
MTPAP_K562,JE
HNRNPK_HepG2,JF
DDX3X_K562,JH
IGF2BP2_K562,JI
METAP2_K562,JJ
ILF3_K562,JK
XPO5_HepG2,JL
NCBP2_HepG2,JM
LSM11_HepG2,JO
PABPN1_HepG2,JP
FXR2_K562,JQ
IGF2BP1_HepG2,JR
LARP4_HepG2,JS
SLTM_K562,JU
RPS3_K562,JV
DDX55_K562,JW
UCHL5_HepG2,JX
SDAD1_HepG2,JY
DDX6_K562,JZ
HNRNPM_K562,KB
RBFOX2_HepG2,KD
AGGF1_K562,KE
RBM15_HepG2,KF
PUM2_K562,KH
EIF3D_HepG2,KI
FMR1_K562,KJ
FXR2_HepG2,KK
SND1_K562,KL
LARP4_K562,KM
SF3A3_HepG2,KO
NIPBL_K562,KP
PUM1_K562,KQ
DDX55_HepG2,KR
SFPQ_HepG2,KS
XRN2_HepG2,KU
PTBP1_K562,KV
EXOSC5_K562,KW
ZNF800_K562,KX
EWSR1_K562,KY
GPKOW_K562,KZ
IGF2BP1_K562,LB
KHSRP_HepG2,LD
SLTM_HepG2,LE
RBM22_HepG2,LF
DROSHA_K562,LH
RPS3_HepG2,LI
TIA1_K562,LJ
FAM120A_K562,LK
QKI_HepG2,LL
NKRF_HepG2,LM
G3BP1_HepG2,LO
UPF1_K562,LP
ZNF800_HepG2,LQ
MATR3_HepG2,LR
GRWD1_K562,LS
NONO_K562,LU
FASTKD2_HepG2,LV
PCBP2_HepG2,LW
GEMIN5_K562,LX
DDX3X_HepG2,LY
HNRNPC_HepG2,LZ
DDX6_HepG2,MB
PTBP1_HepG2,MD
CSTF2T_K562,ME
HLTF_HepG2,MF
PRPF4_HepG2,MH
PABPC4_K562,MI
EIF3H_HepG2,MJ
AQR_HepG2,MK
EFTUD2_K562,ML
DGCR8_adrenal_gland,MM
AARS_K562,MO
TBRG4_HepG2,MP
HNRNPL_HepG2,MQ
HNRNPM_HepG2,MR
FAM120A_HepG2,MS
RBM15_K562,MU
SF3B4_K562,MV
DDX24_K562,MW
SF3B1_K562,MX
PRPF8_K562,MY
U2AF2_HepG2,MZ
CSTF2T_HepG2,OB
EFTUD2_HepG2,OD
SUGP2_HepG2,OE
BUD13_HepG2,OF
YBX3_K562,OH
ZNF622_K562,OI
KHSRP_K562,OJ
BUD13_K562,OK
UTP3_K562,OL
AQR_K562,OM
PRPF8_HepG2,OO
UCHL5_K562,OP
PPIG_HepG2,OQ
GRWD1_HepG2,OR
BCLAF1_HepG2,OS
